round_id,symbol,direction,open_time,close_time,open_price,close_price,max_position,open_trades_count,close_trades_count,pnl_xbt,holding_duration,is_closed,pnl_from_wallet
455,LINKUSDT,Long,2021-08-07 11:00:54.320000+00:00,2021-08-11 08:23:00.186000+00:00,23.44698029279279,24.772,1776,48,40,,3 days 21:22:05.866000,True,-1.521286
456,LINKUSDT,Long,2021-09-21 20:42:29.371000+00:00,2021-09-22 09:14:08.137000+00:00,21.55,22.71,888,14,42,,0 days 12:31:38.766000,True,0.0
457,LINKUSDTZ20,Long,2020-09-13 00:07:48.984000+00:00,2020-09-13 13:05:55.752000+00:00,14.440750000000001,13.6455,222,2,1,,0 days 12:58:06.768000,True,0.007212
458,LINKUSDTZ20,Short,2020-09-24 13:26:23.056000+00:00,2020-09-24 15:38:46.277000+00:00,9.38016355140187,10.004080996884735,-321,2,11,,0 days 02:12:23.221000,True,0.0
459,LTCH21,Long,2020-12-25 18:30:08.190000+00:00,2021-01-03 13:42:02.307000+00:00,0.0046729307432432435,0.004577100225225225,1354,40,70,,8 days 19:11:54.117000,True,-9.780553
460,LTCH21,Long,2021-01-04 20:26:02.498000+00:00,2021-01-05 18:21:43.039000+00:00,0.004587406015037593,0.00453,532,10,8,,0 days 21:55:40.541000,True,0.020092
461,LTCH21,Long,2021-01-09 23:41:01.417000+00:00,2021-01-10 18:27:17.686000+00:00,0.004258,0.004220459459459459,555,85,15,,0 days 18:46:16.269000,True,0.059055
462,LTCH21,Long,2021-01-13 23:22:17.532000+00:00,2021-01-15 04:14:09.911000+00:00,0.0038146839443742096,0.003747964601769911,791,31,14,,1 days 04:51:52.379000,True,0.027645
463,LTCH21,Long,2021-01-18 23:28:56.431000+00:00,2021-01-26 16:28:44.163000+00:00,0.004064340277777778,0.004103874007936508,761,66,55,,7 days 16:59:47.732000,True,1.044389
464,LTCH21,Long,2021-01-29 09:39:57.104000+00:00,2021-02-22 09:22:32.890000+00:00,0.003791821280991736,0.003980390495867769,2785,310,361,,23 days 23:42:35.786000,True,88.636664
465,LTCH21,Long,2021-03-01 13:20:21.740000+00:00,2021-03-21 04:28:55.762000+00:00,0.0036260646230323115,0.0034769676884838442,1052,101,248,,19 days 15:08:34.022000,True,0.34770399999999996
466,LTCM20,Short,2020-05-01 23:45:58.220000+00:00,2020-05-02 20:49:14.945000+00:00,0.005366666666666666,0.005559999999999999,-333,31,8,,0 days 21:03:16.725000,True,-0.037373
467,LTCM20,Long,2020-05-02 20:49:14.945000+00:00,2020-05-04 05:17:10.296000+00:00,0.00556487321711569,0.005313979226361031,1262,11,57,,1 days 08:27:55.351000,True,-6.831621
468,LTCM20,Short,2020-05-04 05:17:10.296000+00:00,2020-05-06 09:52:00.862000+00:00,0.005294727537437604,0.00520713493120284,-2253,49,34,,2 days 04:34:50.566000,True,-26.579656
469,LTCM20,Long,2020-05-30 09:28:24.648000+00:00,2020-06-08 22:11:45.084000+00:00,0.004959636169708462,0.004879623133443944,3719,110,88,,9 days 12:43:20.436000,True,-21.332907
470,LTCM21,Long,2021-03-29 02:41:02.762000+00:00,2021-04-03 01:34:57.142000+00:00,0.003405,0.0036049999999999997,100,7,33,,4 days 22:53:54.380000,True,-0.022811
471,LTCM21,Long,2021-04-21 19:55:01.631000+00:00,2021-04-24 05:09:28.694000+00:00,0.004909521428571428,0.004675,700,80,52,,2 days 09:14:27.063000,True,0.063329
472,LTCU20,Long,2020-06-26 12:29:11.610000+00:00,2020-06-28 02:23:43.093000+00:00,0.004672671122994652,0.00449322192513369,1870,21,37,,1 days 13:54:31.483000,True,-0.828093
473,LTCU20,Long,2020-07-06 00:36:01.383000+00:00,2020-07-07 07:52:34.904000+00:00,0.0045449999999999996,0.004655,1000,7,1,,1 days 07:16:33.521000,True,-1.022621
474,LTCU20,Long,2020-07-08 10:10:11.536000+00:00,2020-07-09 15:07:25.822000+00:00,0.004812731397459165,0.004765,1102,24,1,,1 days 04:57:14.286000,True,-0.672538
475,LTCU20,Long,2020-07-13 19:31:54.518000+00:00,2020-07-14 04:26:40.960000+00:00,0.0045875,0.00466,1000,5,7,,0 days 08:54:46.442000,True,0.0
476,LTCU20,Long,2020-07-25 07:33:59.827000+00:00,2020-07-27 14:34:57.267000+00:00,0.0048495,0.004575,1000,20,12,,2 days 07:00:57.440000,True,0.08618999999999999
477,LTCU20,Long,2020-07-30 13:45:30.633000+00:00,2020-08-03 17:04:33.384000+00:00,0.005079583333333333,0.005274999999999999,600,19,9,,4 days 03:19:02.751000,True,9.873415999999999
478,LTCU20,Long,2020-08-24 03:14:34.050000+00:00,2020-09-02 11:46:17.839000+00:00,0.00524428728606357,0.005154440097799511,2090,53,73,,9 days 08:31:43.789000,True,-32.688995999999996
479,LTCU20,Long,2020-09-02 16:14:00.823000+00:00,2020-09-04 06:45:08.462000+00:00,0.005059,0.004680000000000001,500,12,15,,1 days 14:31:07.639000,True,0.113822
480,LTCU21,Long,2021-08-10 06:48:12.576000+00:00,2021-08-11 12:00:36.032000+00:00,0.003594128919860627,0.003706362369337979,574,141,204,,1 days 05:12:23.456000,True,6.3389359999999995
481,LTCU21,Long,2021-08-26 16:23:19.934000+00:00,2021-09-04 23:20:11.604000+00:00,0.003637466216216216,0.004307810810810811,148,10,12,,9 days 06:56:51.670000,True,5.491284
482,LTCU21,Long,2021-09-20 11:08:19.948000+00:00,2021-09-21 17:40:21.791000+00:00,0.003584,0.00369,222,23,19,,1 days 06:32:01.843000,True,0.007952
483,LTCU21,Long,2021-09-24 09:21:57.198000+00:00,,0.003485,,1000,8,0,0.0,1758 days 12:49:18.359000,False,5.134847
484,LTCUSD,Long,2020-08-01 10:10:23.992000+00:00,2020-08-02 15:18:51.412000+00:00,60.774175996661164,61.95379819993105,104663,20,26,,1 days 05:08:27.420000,True,34.379567
485,LTCUSD,Long,2020-08-02 15:50:47.412000+00:00,2020-08-03 17:04:22.683000+00:00,56.42,59.03,8111,2,2,,1 days 01:13:35.271000,True,-10.035126
486,LTCUSD,Long,2020-09-15 02:36:26.044000+00:00,2020-09-17 13:49:33.165000+00:00,49.832499999999996,48.844922974987576,72444,19,39,,2 days 11:13:07.121000,True,-11.681805
487,LTCUSD,Long,2020-10-01 14:21:43.175000+00:00,2020-10-01 16:18:46.296000+00:00,46.99724619126872,45.3244130072974,39055,27,25,,0 days 01:57:03.121000,True,0.0
